SeqNum,UtcDate,UtcTime,AcqTime,PDOP,Long,Lat,Alt.m.,TotCount.cps.,Potassium...,Uranium.ppm.,Thorium.ppm.,UpDet.cps.,X.meters.,X.meters..1,xy
72234,19/3/2024,1:00:04,999994,2.10148,149.8850951,-30.2663977,298.4941,1590.60174,2.65335,4.05054,11.18756,9.00907,298.517,100,TRUE
72235,19/3/2024,1:00:05,999994,2.1015,149.885108,-30.2663761,297.4474,1675.35201,3.18537,0.28372000000000003,2.6525,3.00242,297.47,100,TRUE
72236,19/3/2024,1:00:06,999994,2.10152,149.8851187,-30.2663543,296.5952,1656.33666,3.40835,0.34048,8.00789,4.00323,296.618,100,TRUE
72237,19/3/2024,1:00:07,999993,2.10154,149.8851276,-30.2663337,296.1605,1676.01902,3.66289,1.5073,11.45434,6.00365,296.183,100,TRUE
72238,19/3/2024,1:00:08,999994,2.10155,149.8851368,-30.2663127,296.0518,1636.82987,3.20159,-0.45024,13.44925,4.00203,296.075,100,TRUE
72239,19/3/2024,1:00:09,999994,2.10157,149.8851462,-30.2662914,296.0358,1684.34866,3.52264,-2.61379,22.60665,3.00062,296.059,100,TRUE
72240,19/3/2024,1:00:10,999994,2.10158,149.8851532,-30.2662702,295.9231,1671.68339,3.39059,2.46938,22.08205,9.00907,295.946,100,TRUE
72241,19/3/2024,1:00:11,999993,2.1016,149.8851601,-30.2662476,296.3628,1611.8188,3.17044,1.507,11.45294,6.00305,296.386,100,TRUE
72242,19/3/2024,1:00:12,999994,2.10161,149.8851694,-30.2662266,296.6345,1642.83292,3.68902,0.45343,18.71229,6.00304,296.657,100,TRUE
72243,19/3/2024,1:00:13,999993,2.10163,149.8851778,-30.2662052,296.5205,1678.85118,3.27212,6.90869,14.44741,13.00659,296.543,100,TRUE
72244,19/3/2024,1:00:14,999994,2.10164,149.8851881,-30.266186,296.2431,1600.29144,3.08946,1.50789,11.45712,6.00485,296.266,100,TRUE
72245,19/3/2024,1:00:15,999994,2.10166,149.8851989,-30.266166,295.6092,1735.53281,2.84638,2.08982,13.17388,7.00215,295.632,100,TRUE
72246,19/3/2024,1:00:16,999994,2.10167,149.8852091,-30.2661444,295.3591,1686.85524,3.54007,3.78439,12.99554,9.00457,295.382,100,TRUE
72247,19/3/2024,1:00:17,999993,2.10169,149.8852192,-30.2661207,295.3041,1625.50065,3.12591,6.26688,7.36756,11.00339,295.327,100,TRUE
72248,19/3/2024,1:00:18,999994,2.1017,149.8852297,-30.2660969,295.3015,1780.43681,3.25472,4.57638,7.55404,9.00727,295.324,100,TRUE
72249,19/3/2024,1:00:19,999994,2.10171,149.885241,-30.2660737,295.4033,1663.00945,5.47069,-0.97698,17.08089,4.00243,295.426,100,TRUE
72250,19/3/2024,1:00:20,999993,2.10173,149.8852508,-30.2660504,295.8817,1621.31002,2.11772,1.67818,27.52331,9.00728,295.904,100,TRUE
72251,19/3/2024,1:00:21,999994,2.10174,149.8852586,-30.2660276,296.1672,1637.66653,3.77986,0.13313,15.17158,5.00204,296.19,100,TRUE
72252,19/3/2024,1:00:22,999994,2.10175,149.8852685,-30.2660052,296.4407,1632.48066,3.6086,-1.0336,11.73085,3.00272,296.464,100,TRUE
72253,19/3/2024,1:00:23,999993,2.10176,149.8852783,-30.2659807,296.9032,1633.15627,4.58749,-0.12984,16.99211,5.00354,296.926,100,TRUE
72254,19/3/2024,1:00:24,999994,2.10177,149.885289,-30.2659574,296.6,1686.02342,4.21508,4.63192,12.90634,10.00607,296.623,100,TRUE
72255,19/3/2024,1:00:25,999993,2.10179,149.8852974,-30.2659352,297.1906,1670.68405,3.58245,1.50849,11.45993,6.00605,297.213,100,TRUE
72256,19/3/2024,1:00:26,999994,2.1018,149.8853093,-30.2659136,296.7062,1653.00337,2.46156,6.58936,10.90982,12.00729,296.729,100,TRUE
72257,19/3/2024,1:00:27,999994,2.10181,149.885321,-30.265893,296.985,1683.68526,4.02004,-2.03055,24.33561,4.00163,297.008,100,TRUE
72258,19/3/2024,1:00:28,999993,2.10182,149.8853306,-30.2658694,297.0189,1652.83799,3.57123,1.82714,14.99186,7.00355,297.042,100,TRUE
72259,19/3/2024,1:00:29,999994,2.10183,149.8853402,-30.2658449,296.4872,1733.61255,4.69546,-0.27882,29.54267,7.01056,296.51,100,TRUE
72260,19/3/2024,1:00:30,999994,2.10184,149.8853517,-30.2658193,296.4744,1760.24449,4.57824,-1.29714,13.54321,3.00212,296.497,100,TRUE
72261,19/3/2024,1:00:31,999993,2.15395,149.8853622,-30.2657946,296.58,1652.83964,2.68883,4.25443,4.01208,8.00407,296.603,100,TRUE
72262,19/3/2024,1:00:32,999994,2.10186,149.8853706,-30.2657696,297.0318,1723.04589,2.78038,6.90953,14.44911,13.0079,297.055,100,TRUE
72263,19/3/2024,1:00:33,999993,2.10187,149.8853796,-30.265743,297.9013,1707.55046,3.1453,4.04999,11.1862,9.00818,297.924,100,TRUE
72264,19/3/2024,1:00:34,999994,2.10188,149.8853891,-30.2657193,297.7919,1704.86437,3.1427,0.98021,15.08261,6.00304,297.815,100,TRUE
72265,19/3/2024,1:00:35,999993,2.10188,149.8853995,-30.2656943,297.9687,1682.35935,4.34771,2.03484,7.82636,6.00485,297.992,100,TRUE
72266,19/3/2024,1:00:36,999994,2.10189,149.8854109,-30.2656698,297.7645,1717.90172,3.51808,0.77491,22.26611,7.00776,297.787,100,TRUE
72267,19/3/2024,1:00:37,999993,2.1019,149.8854238,-30.2656476,297.2871,1669.01617,2.90821,0.66157,11.55354,5.00605,297.31,100,TRUE
